Content,Paper Name,Label,Document Type,Affiliations
"BACKGROUND: Plasma neurofilament light chains (NfL) and glial fibrillary acidic protein (GFAP) are blood-based biomarkers of axonal injury and astrocytic activation, respectively, that are elevated in those with Alzheimer's disease (AD) and mild cognitive impairment (MCI) relative to cognitively unimpaired (CU) individuals. Neurite orientation dispersion and density imaging (NODDI) is a multishell diffusion MRI method capable of evaluating tissue microstructure at the axonal and dendritic level. We evaluated associations between temporal cortex orientation dispersion index (ODI), neurite density index (NDI) and isotropic volume fraction (ISOVF) and plasma NfL and GFAP concentrations. METHOD: We included Mayo Clinic Study of Aging (MCSA)",Alzheimer's Imaging Consortium,Alzheimer's Disease,Article,"Mayo Clinic, Rochester, MN, United States; Department of Radiology, Mayo Clinic, Rochester, MN, United States; Mayo Clinic, Rochester, MN, United States"
"Amyloidogenic protein aggregation is a hallmark of numerous neurodegenerative diseases, including Alzheimer's and Parkinson's diseases. Thioflavin T (ThT), which selectively interacts with fibrillar amyloid structures, holds significant promise for diagnostic and therapeutic applications. Herein, we investigate the binding behaviour of Thioflavin T (ThT), a widely employed amyloid-specific fluorophore, with well-ordered spherical aggregates formed by dipeptides Boc-Phe-Trp-OMe (FW), Boc-Val-Trp-OMe (VW), Boc-Leu-Trp-OMe (LW) and Boc-Ile-Trp-OMe (IW). Our findings indicate that despite their non-amyloid nature, the well-ordered spherical dipeptide aggregates effectively sequester ThT molecules, enhancing fluorescence. The binding of ThT molecules to the dipeptides was further confirmed by fluorescence microscopy, which produced beautiful",Unprecedented binding of Thioflavin T with well-ordered spherical aggregates: A false positive?,Alzheimer's Disease,Article,"Department of Chemistry, Indian Institute of Technology Guwahati, Guwahati, AS, India"
"Human Endogenous Retroviruses comprise approximately 8% of the human genome, serving as fragments of ancient retroviral infections. Although they are generally maintained in a silenced state by robust epigenetic mechanisms, specific HERV groups, particularly HERV-W and HERV-K, can become derepressed under specific pathological conditions, thereby contributing to the initiation and progression of neuroinflammatory and neurodegenerative processes. Preclinical studies and clinical trials, such as those investigating monoclonal antibodies, indicate that directly targeting these elements may offer a novel therapeutic strategy. In this review, we provide an overview of HERVs′ biology, examine their role in neurodegenerative diseases such as amyotrophic lateral sclerosis,",Human Endogenous Retroviruses as Novel Therapeutic Targets in Neurodegenerative Disorders,Alzheimer's Disease,Review,"Department of Biomedical Sciences, Università degli Studi di Sassari, Sassari, SS, Italy; ASSL Sassari, Sassari, Italy; Struttura Complessa Microbiologia e Virologia, Azienda Ospedaliero Universitaria Sassari, Sassari, SS, Italy"
"The endogenous cannabinoid palmitoylethanolamide (PEA) has shown efficacy in the treatment of a wide range of diseases, including parkinsonism, Alzheimer’s disease, epilepsy, depression, stroke, traumatic brain injury, cognitive and behavioral disorders, oncology, and diseases caused by bacteria and viruses. Clinical trials of PEA showed the absence of any significant side effects. The disadvantage of PEA is the lack of a dosage form for injection (it is used only orally) because of its insolubility in water. Nine water-soluble analogs of PEA, particularly IEM-1875, were obtained by us by replacing the terminal OH group of PEA with an NH<inf>2</inf> group. IEM-1875 in",Water-Soluble Analogs of Palmitoylethanolamide and Its Combination with Adamantane- and Phenylcyclohexyl-Containing Glutamate Blockers,Alzheimer's Disease,Article,"Federal State Budgetary Scientific Institution ‘Institute of Experimental Medicine’, Saint Petersburg, Russian Federation"
"INTRODUCTION: Plasma phosphorylated tau (p-tau)-231 is a promising biomarker for Alzheimer's disease (AD), particularly in preclinical stages. We evaluated its diagnostic value in presenilin 1 (PSEN1) E280A mutation carriers versus non-carriers and compared it to p-tau217 and neurofilament light chain (NfL). METHODS: We analyzed plasma p-tau231 in 722 carriers and 640 non-carriers (ages 18–75). Longitudinal data from 164 carriers and 132 non-carriers were available, with 137 carriers and 109 non-carriers having p-tau231, p-tau217, and NfL levels. Analyses used linear mixed effects models and restricted cubic splines. RESULTS: E280A carriers had higher p-tau231 levels than non-carriers (9.0 ± 7.4 vs. 5.2",Plasma p-tau231 in the presenilin 1 E280A autosomal dominant Alzheimer's disease kindred: A cross-sectional and longitudinal cohort study,Alzheimer's Disease,Article,"Harvard Medical School, Boston, MA, United States; Department of Psychiatry and Neurochemistry, Göteborgs Universitet, Gothenburg, Vastra Gotaland, Sweden; Banner Alzheimer's Institute, Phoenix, AZ, United States; Banner Sun Health Research Institute, Sun City, AZ, United States; Grupo de Neurociencias de Antioquia, Universidad de Antioquia, Medellin, Antioquia, Colombia; Department of Psychological and Brain Sciences, Boston University, Boston, MA, United States; University of Arizona College of Medicine – Phoenix, Phoenix, AZ, United States; Clinical Neurochemistry Laboratory, Sahlgrenska Universitetssjukhuset, Gothenburg, Vastra Gotaland, Sweden; Department of Neurodegenerative Disease, UCL Queen Square Institute of Neurology, London, United Kingdom; University College London, London, United Kingdom; Clear Water Bay, Hong Kong, Hong Kong; University of Wisconsin School of Medicine and Public Health, Madison, WI, United States; Arizona State University Downtown Phoenix Campus, Phoenix, AZ, United States; Translational Genomics Research Institute, Phoenix, AZ, United States"
"The choroid plexus (ChP) is implicated in inflammation and supports the clearance of waste byproducts, particularly those related to the pathogenesis of Alzheimer's disease. Increases in ChP volume have been associated with older age and cognitive decline in both clinical and healthy cohorts. However, the clearance of waste products in the brain is also related to sleep, and sleep quality may contribute to ChP dysfunction and cognitive decline. In the present work, it was therefore hypothesized that the association between age and cognitive performance is mediated by ChP volume, however this is conditional on sleep quality. A moderated-mediation model was",Choroid plexus volume and its association with cognitive performance across the lifespan: Links to sleep quality and healthy brain aging,Alzheimer's Disease,Article,"Faculty of Health, Charles Darwin University, Darwin, NT, Australia; Department of Electrical and Software Engineering, University of Calgary, Calgary, AB, Canada; Department of Radiology, Cumming School of Medicine, Calgary, AB, Canada; Hotchkiss Brain Institute, Calgary, AB, Canada; Brain-Behaviour Research Group, University of New England Australia, Armidale, NSW, Australia"
"Objectives: Examine whether physical activity (PA) changes during the COVID-19 pandemic were related to subjective cognitive decline (SCD), depression, and anxiety in older adults and whether these varied by sociodemographic variables. Methods: 301 older adults completed an online survey between May and October 2020 and 3 months later, including self-report questionnaires of SCD, depression, and anxiety. PA changes were determined with a question. Results: 60% of participants reported decreased PA. Those who reduced their PA were more likely to be from low to middle income and younger. PA increase was related to less SCD and depressive symptoms compared to those",Physical Activity and Neurocognitive Symptoms in Older Adults During COVID-19 Pandemic,Alzheimer's Disease,Article,"Department of Psychology, Universidad de Puerto Rico, San Juan, Puerto Rico; Department of Psychiatry, Massachusetts General Hospital, Boston, MA, United States; Department of Psychological and Brain Sciences, Boston University, Boston, MA, United States; Department of Neurology, Washington University School of Medicine in St. Louis, St. Louis, MO, United States; Department of Psychology, University of Johannesburg, Johannesburg, Gauteng, South Africa; Massachusetts General Hospital, Boston, MA, United States; Grupo de Neurociencias, Universidad de Antioquia, Medellin, Antioquia, Colombia"
"It is widely accepted that living organisms form highly dynamic membrane-less organelles (MLOS) with various functions through phase separation, and the indispensable role that phase separation plays in the mechanisms of normal physiological functions and pathogenesis is gradually becoming clearer. Pathological aggregates, regarded as hallmarks of neurodegenerative diseases, have been revealed to be closely related to aberrant phase separation. Specific proteins are assembled into condensates and transform into insoluble inclusions through aberrant phase separation, contributing to the development of diseases. In this review, we present an overview of the progress of phase separation research, involving its biological mechanisms and the",The Role of Liquid‒Liquid Phase Separation in the Accumulation of Pathological Proteins: New Perspectives on the Mechanism of Neurodegenerative Diseases,Alzheimer's Disease,Review,"Guangdong Medical University, Zhanjiang, Guangdong, China; School of Ocean and Tropical Medicine, Guangdong Medical University, Zhanjiang, Guangdong, China"
"INTRODUCTION: We investigated whether memory recall response time (RT) on remote digital testing reflects decrements in memory function linked to Alzheimer's disease (AD) biomarkers. METHODS: One hundred seventy-five cognitively unimpaired participants (age = 74.21 ± 8.33; 66.9% female) completed daily associative memory tests over 7 days. We examined how RT changed with repeated learning and how this related to accuracy. In a positron emission tomography–imaged subsample (n = 150), linear regression evaluated associations between mean RT across Days 1 to 3 and Days 5 to 7 and cortical amyloid and medial temporal and neocortical tau. RESULTS: RT for correct items",Using memory recall response time on digital cognitive testing to detect subtle cognitive changes among cognitively unimpaired older adults,Alzheimer's Disease,Article,"Harvard Medical School, Boston, MA, United States; Department of Neurology, Alzheimercentrum Amsterdam, Amsterdam, Noord-Holland, Netherlands; Harvard Medical School, Boston, MA, United States; Center for Alzheimer Research and Treatment, Harvard Medical School, Boston, MA, United States; Department of Radiology, Harvard Medical School, Boston, MA, United States"
"Subjective cognitive decline (SCD) is increasingly recognised as a potential preclinical stage of Alzheimer's disease, yet the physiological mechanisms underlying its progression remain poorly understood. This longitudinal study examined whether heart rate variability (HRV), a non-invasive marker of autonomic nervous system regulation, could serve as an early psychophysiological indicator of cognitive vulnerability in older adults with SCD. Twenty-one participants meeting established SCD criteria completed two identical experimental sessions approximately 12 months apart. Each session included comprehensive neuropsychological testing and continuous HRV recording during exposure to emotionally evocative images from the International Affective Picture System, presented in a temporally extended and",Cognitive changes and emotional heart rate variability dynamics in subjective cognitive decline: An exploratory longitudinal neuropsychophysiological study,Alzheimer's Disease,Article,"Department of Psychology, Università degli Studi di Torino, Turin, TO, Italy; Department of Neuroscience, Università degli Studi di Torino, Turin, TO, Italy; Scuola Universitaria Superiore IUSS di Pavia, Pavia, PV, Italy; Istituti Clinici Scientifici Maugeri Spa – SB, Pavia, PV, Italy; Department of Computer Science, Università degli Studi di Firenze, Florence, FI, Italy; Department of Psychology, Università Cattolica del Sacro Cuore, Milan, MI, Italy; Department of Medical Sciences, Università degli Studi di Torino, Turin, TO, Italy"
"Eichhornia crassipes (Mart.) Solms, also known as Pontederia crassipes Mart, has traditionally been used for its sedative, antipsychotic, and memory-enhancing properties. However, its effects against Alzheimer's disease (AD) remain unexplored. Therefore, this study aimed to investigate the in vitro anti-AD properties of methanol (MEECF), ethanol (EEECF), and ethyl acetate (EAEECF) extracts of E. crassipes flowers and to identify potential multi-modal anti-AD phytocompounds using computational drug discovery targeting acetylcholinesterase (AChE), butyrylcholinesterase (BChE), and beta-site amyloid precursor protein cleaving enzyme-1 (BACE-1). Initially, 204 phytocompounds were metabolically annotated through GC-MS analysis of the extracts, and their functional groups and chemical nature were identified",Multifaceted neuroprotective potential of phytocompounds and extracts from Eichhornia crassipes (Mart.) Solms flowers against alzheimer's disease: An in vitro and in silico approach,Alzheimer's Disease,Article,"Molecular and Cellular Biology Laboratory, Jashore University of Science and Technology, Jessore, Jashore, Bangladesh; Department of Biotechnology and Biochemistry, University of Science and Technology Chittagong, Chittagong, Bangladesh; Korea Institute of Radiological and Medical Sciences, Seoul, South Korea; Bangladesh Council of Scientific and industrial Research (BCSIR), Dhaka, Dhaka, Bangladesh; Department of Pharmaceutical Chemistry, College of Pharmacy, Riyadh, Riyad, Saudi Arabia; Department of Pharmacy, Jashore University of Science and Technology, Jessore, Jashore, Bangladesh"
"We investigated the acetylcholinesterase (AChE) inhibitory effects and mechanisms of Piper longum bioactive compounds at multiple levels and dimensions using an innovative multidimensional research approach that combined ultrafiltration, molecular docking, molecular dynamics, network pharmacology, PC12 cell assays, and animal experiments. Matrix and grayscale analysis methods for multidimensional data were established for active compound screening, enabling the quantitative evaluation and ranking of compound bioactivity. Six key bioactive compounds, including brachystamide B, were identified. An Euclidean distance analysis method integrated with NSGA-III and a response surface methodology were developed to optimize the extraction and separation of these compounds. A four-stage countercurrent chromatography","Exploration of acetylcholinesterase inhibitors from Piper longum L. using five-in-one comprehensive screening, system preparation, and in vitro and in vivo bioactivity evaluation technologies",Alzheimer's Disease,Article,"Central Laboratory, Changchun Normal University, Changchun, Jilin, China; Laboratory of Bioseparation Technology, National Heart, Lung, and Blood Institute (NHLBI), Bethesda, MD, United States"
"Extracellular vesicles (EVs) have emerged as novel blood-based biomarkers for various pathologies. The development of methods to enrich cell-specific EVs from biofluids has enabled us to monitor difficult-to-access organs, such as the brain, in real time without disrupting their function, thus serving as liquid biopsy. Burgeoning evidence indicates that the contents of neuron-derived EVs (NDEs) in blood reveal dynamic alterations that occur during neurodegenerative pathogenesis, including Alzheimer's disease (AD), reflecting a disease-specific molecular signature. Among these AD-specific molecular changes is brain insulin-signaling dysregulation, which cannot be assessed clinically in a living patient and remains an unexplained co-occurrence during AD pathogenesis.",Neuron-derived extracellular vesicles as a liquid biopsy for brain insulin dysregulation in Alzheimer's disease and related disorders,Alzheimer's Disease,Review,"Department of Internal Medicine-Gerontology and Geriatric Medicine, Wake Forest University School of Medicine, Winston Salem, NC, United States; Wake Forest University School of Medicine, Winston Salem, NC, United States; Wake Forest University School of Medicine, Winston Salem, NC, United States"
"Chitinase 1 (CHIT1), as a chitin-specific hydrolase, significantly influences the progression of Alzheimer's disease (AD) through microglia-associated inflammation and amyloid beta (Aβ) plaque accumulation. However, the precise mechanism of CHIT1 action in AD remains uncertain. The effects of CHIT1 on cerebral blood flow (CBF), hippocampal volume, and cognitive function were investigated in APP/PS1 mice. Protein alterations resulting from CHIT1 overexpression were analyzed using four-dimensional (4D) label-free quantitative (LFQ) protein spectrometry. Additionally, the influence of CHIT1 on microglial electrophysiology was assessed using patch clamp measurements, and its effects on neuroinflammation, phagocytosis, microglia migration, and neuronal apoptosis under AD-like conditions were examined",CHIT1 regulates the neuroinflammation and phagocytosis of microglia and suppresses Aβ plaque deposition in Alzheimer's disease,Alzheimer's Disease,Article,"Department of Geriatrics, The First Affiliated Hospital of Chongqing Medical University, Chongqing, China; Institute of Neuroscience, Chongqing Medical University, Chongqing, Chongqing, China"
"In our previous study, when mapping the kinetics of all 40 genetic subtypes of the voltage-gated potassium (Kv) family of ion channels, we observed significant heterogeneity in the inactivation delay of Kv3.4. Kv3.4 enables high-frequency firing in excitable cells and is linked to disorders such as Alzheimer's disease, epilepsy, chronic pain, and cardiovascular disease. In this study, we found that N-glycosylation, a co- and post-translational process of adding glycans branches to proteins, is a key mechanism that causes heterogeneity in the inactivation delay of Kv3.4 ion channel. Additionally, we discovered that changes in glucose availability directly affect N-glycosylation and the",N-glycosylation modulates the inactivation kinetics of the Kv3.4 ion channel,Alzheimer's Disease,Article,"Campus Biotech, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Laboratory of Neural Microcircuitry, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland"
"Familial Alzheimer’s disease (FAD) caused by presenilin 1 (PSEN1) E280A induces the aberrant accumulation of intracellular Aβ (iAβ) in cholinergic-like neurons (ChLNs). How early iAβ accumulates in the development of ChLNs is still unknown. Consequently, the timing of appropriate therapeutic approaches against FAD is unclear. To determine the earliest iAβ in PSEN1 E280A ChLNs, flow cytometry and immunofluorescence microscopy were used to follow the development of menstrual mesenchymal stromal cells (MenSCs) into ChLNs (proliferation marker Ki67, cluster of differentiation 73 (CD73), neuronal nuclei (NeuN) marker, choline acetyl transferase (ChAT)), the kinetics of iAβ accumulation, and the simultaneous evaluation of other",Combination of Epigallocatechin-3-Gallate and Tramiprosate Prevent Accumulation of Intracellular Aβ and Dysfunctional Autophagy–Lysosomal Pathway at Earliest Stage of Transdifferentiation of Mesenchymal Stromal Cells into PSEN1 E280A Cholinergic-like Neurons,Alzheimer's Disease,Article,"Neuroscience Research Group, University Research Headquarters, Medellin, Colombia; Neuroscience Research Group, University Research Headquarters, Medellin, Colombia"
"Background and purpose: TMEM16A chloride channels constitute a depolarising mechanism in arterial smooth muscle cells (SMCs) and contractile cerebral pericytes. TMEM16A pharmacology is incompletely defined. We elucidated the mode of action and selectivity of a recently identified positive allosteric modulator of TMEM16A (PAM_16A) and of a range of TMEM16A inhibitors. We also explore the consequences of selective modulation of TMEM16A activity on arterial and capillary function. Experimental approach: Patch-clamp electrophysiology, isometric tension recordings, live imaging of cerebral cortical capillaries and assessment of cell death were employed to explore the effect of selective pharmacological control of TMEM16A on vascular function. Key",Pharmacological profiling of small molecule modulators of the TMEM16A channel and their implications for the control of artery and capillary function,Alzheimer's Disease,Article,"University of Oxford Medical Sciences Division, Oxford, Oxfordshire, United Kingdom; Autifony Therapeutics Limited, Stevenage, Hertfordshire, United Kingdom; Istituto di Ricerca Pediatrica Citta' della Speranza, Autifony Therapeutics Limited, Stevenage, Hertfordshire, United Kingdom"
"A growing interest in the comprehensive pathogenic mechanisms of psychiatric disorders from the perspective of the microbiome has been witnessed in recent decades; the intrinsic link between microbiota and brain function through the microbiota-gut-brain axis or other pathways has gradually been realized. However, little research has focused on viruses–entities characterized by smaller dimensions, simpler structures, greater diversity, and more intricate interactions with their surrounding milieu compared to bacteria. To date, alterations in several populations of bacteriophages and viruses have been documented in both mouse models and patients with psychiatric disorders, including schizophrenia, major depressive disorder, autism spectrum disorder, and Alzheimer’s","Viewing Psychiatric Disorders Through Viruses: Simple Architecture, Burgeoning Implications",Alzheimer's Disease,Review,"Department of Psychiatry, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China; Nanhu Brain-Computer Interface Institute, Hangzhou, Zhejiang, China; Zhejiang Key Laboratory of Precision Psychiatry, Hangzhou, Zhejiang, China; MOE Frontier Science Center for Brain Science and Brain-Machine Integration, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China; Zhejiang University, Hangzhou, Zhejiang, China; Department of Psychology and Behavioral Sciences, Zhejiang University, Hangzhou, Zhejiang, China; Zhejiang Engineering Center for Mathematical Mental Health, Hangzhou, Zhejiang, China"
"INTRODUCTION: Sarcopenia, with its complex diagnostic process, is a likely independent predictor of poor prognosis in patients with Alzheimer's disease (AD). However, research on the clinical characteristics and biomarkers of AD patients with sarcopenia (ADSA) is limited. METHODS: This study included 180 ADSA and 188 AD patients without sarcopenia (ADNSA), and evaluated demographics, cognitive function, motor capacity, emotional state, and daily living abilities. RESULTS: ADSA patients were older, with worse motor and cognitive functions, more severe depression, poorer social functioning, and lower daily living abilities compared to ADNSA patients. Multivariate regression identified age, low Frailty Rating Scale (FRS) scores, low",Identification of risk factors and development of a predictive nomogram for sarcopenia in Alzheimer's disease,Alzheimer's Disease,Article,"Department of Neurology, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China"
"BACKGROUND: Intrinsic neural timescale (INT) refers to the persistence of local neural activity over time and is thought to play a key role in brain functional integration and segregation. While current evidence suggests that INT in some cortical regions is altered in normal aging and Alzheimer's disease, prior studies have also yielded mixed results. This may be due to improper control for cerebro- and/or cardiovascular factors, which has been shown in some cases to sufficiently explain age-relate differences in the temporal variability in blood-oxygen-level-dependent (BOLD) fMRI signal. Here, we examined a large sample of middle-aged and older participants to test",Alzheimer's Imaging Consortium,Alzheimer's Disease,Article,"Northeastern University, Boston, MA, United States; Frontotemporal Disorders Unit, Massachusetts General Hospital, Boston, MA, United States; Massachusetts General Hospital, Boston, MA, United States"
